dataset,model_family,model,category,mae,rmse,mape,stability_penalty,objective_value,selected,selection_score,consistency_penalty
validation,arima,"ARIMA(2, 0, 0)",beleza_saude,49.26581158650697,62.57185787176382,7.435675105894708,68.72957919096427,56.1387695056034,True,34.53231703352003,32.689711314454144
backtest,arima,"ARIMA(2, 0, 0)",beleza_saude,16.576100272052827,20.164849943699604,2.2091483938996332,23.517227119603376,18.927822984013165,True,34.53231703352003,32.689711314454144
validation,naive,naive_ma_2,cama_mesa_banho,20.2,26.330590574463002,3.2415265787416674,,,True,32.97,49.3
backtest,naive,naive_ma_2,cama_mesa_banho,69.5,81.72667863066503,13.503765465303927,,,True,32.97,49.3
validation,naive,naive_lag_1,esporte_lazer,70.6,79.0885579587844,14.712107120456416,,,True,51.35999999999999,40.599999999999994
backtest,naive,naive_lag_1,esporte_lazer,30.0,31.04834939252005,7.2324072324072315,,,True,51.35999999999999,40.599999999999994
