dataset,model,category,mape,rmse,mae
backtest,ARIMA,construcao_ferramentas_construcao,9.4162,14.9163,11.4309
validation,naive_lag_1,construcao_ferramentas_ferramentas,71.9545,6.3875,5.2
backtest,naive_lag_1,construcao_ferramentas_ferramentas,44.2857,5.099,5.0
validation,ARIMA,construcao_ferramentas_ferramentas,40.8773,5.098,3.9663
backtest,ARIMA,construcao_ferramentas_ferramentas,50.4088,6.523,6.2125
validation,naive_lag_1,construcao_ferramentas_iluminacao,32.704,11.975,8.6
backtest,naive_lag_1,construcao_ferramentas_iluminacao,20.5357,11.8533,10.5
validation,ARIMA,construcao_ferramentas_iluminacao,73.552,23.3432,20.0686
backtest,ARIMA,construcao_ferramentas_iluminacao,31.8249,18.2827,16.2485
validation,naive_lag_1,construcao_ferramentas_jardim,32.1046,5.0596,4.4
backtest,naive_lag_1,construcao_ferramentas_jardim,21.0526,5.6569,4.0
validation,ARIMA,construcao_ferramentas_jardim,36.8526,6.0669,5.3847
backtest,ARIMA,construcao_ferramentas_jardim,32.0907,6.0974,6.0972
validation,naive_lag_1,construcao_ferramentas_seguranca,31.7955,5.8138,5.0
backtest,naive_lag_1,construcao_ferramentas_seguranca,17.619,4.3012,3.5
validation,ARIMA,construcao_ferramentas_seguranca,68.4259,12.9319,11.6707
backtest,ARIMA,construcao_ferramentas_seguranca,20.5909,4.3458,3.0949
validation,naive_lag_1,cool_stuff,38.9927,68.0808,62.2
backtest,naive_lag_1,cool_stuff,7.0453,9.434,8.0
validation,ARIMA,cool_stuff,58.3607,94.027,77.7632
backtest,ARIMA,cool_stuff,50.7475,58.1472,58.0525
validation,naive_lag_1,dvds_blu_ray,50.6667,1.4832,1.4
backtest,naive_lag_1,dvds_blu_ray,200.0,2.8284,2.0
validation,ARIMA,dvds_blu_ray,67.7164,2.5665,2.2001
backtest,ARIMA,dvds_blu_ray,435.147,4.3565,4.3515
validation,naive_lag_1,eletrodomesticos,35.6773,27.608,24.2
backtest,naive_lag_1,eletrodomesticos,21.2366,14.5774,14.5
validation,ARIMA,eletrodomesticos,74.3906,56.2927,53.0697
backtest,ARIMA,eletrodomesticos,12.2919,11.9013,9.3355
validation,naive_lag_1,eletrodomesticos_2,38.6922,7.8486,6.8
backtest,naive_lag_1,eletrodomesticos_2,37.6623,6.3246,6.0
validation,ARIMA,eletrodomesticos_2,46.4399,10.3934,9.5775
backtest,ARIMA,eletrodomesticos_2,29.7253,5.6678,4.2541
validation,naive_lag_1,eletronicos,16.9815,39.9375,36.2
backtest,naive_lag_1,eletronicos,23.5483,30.0666,30.0
validation,ARIMA,eletronicos,16.2689,51.6073,40.2148
backtest,ARIMA,eletronicos,73.642,92.6701,91.5937
validation,naive_lag_1,eletroportateis,36.9826,17.6011,15.0
backtest,naive_lag_1,eletroportateis,37.5155,10.198,10.0
validation,ARIMA,eletroportateis,26.3504,16.263,12.5046
backtest,ARIMA,eletroportateis,53.987,15.0185,13.724
validation,naive_lag_1,esporte_lazer,14.6098,80.3019,70.4
backtest,naive_lag_1,esporte_lazer,7.3024,31.6623,30.5
validation,ARIMA,esporte_lazer,22.5151,123.9895,110.0556
backtest,ARIMA,esporte_lazer,3.3958,14.2943,14.2924
validation,naive_lag_1,fashion_bolsas_e_acessorios,22.6482,24.1744,22.4
backtest,naive_lag_1,fashion_bolsas_e_acessorios,24.8269,33.712,27.5
validation,ARIMA,fashion_bolsas_e_acessorios,50.6462,54.1361,46.8063
backtest,ARIMA,fashion_bolsas_e_acessorios,14.6573,14.6326,14.2558
validation,naive_lag_1,fashion_calcados,9.8182,1.4832,1.0
backtest,naive_lag_1,fashion_calcados,83.3333,3.8079,3.5
validation,ARIMA,fashion_calcados,10.0154,1.1138,1.0194
backtest,ARIMA,fashion_calcados,153.1012,5.5702,5.4189
validation,naive_lag_1,fashion_esporte,50.0,1.0954,0.8
backtest,naive_lag_1,fashion_esporte,100.0,0.7071,0.5
validation,ARIMA,fashion_esporte,1.0899,0.7854,0.6127
backtest,ARIMA,fashion_esporte,80.2568,0.6379,0.6073
validation,naive_lag_1,fashion_roupa_feminina,66.6667,1.0,0.6
backtest,naive_lag_1,fashion_roupa_feminina,100.0,1.4142,1.0
validation,ARIMA,fashion_roupa_feminina,24.6508,0.5232,0.4558
backtest,ARIMA,fashion_roupa_feminina,71.4544,1.0986,1.0193
validation,naive_lag_1,fashion_roupa_infanto_juvenil,100.0,1.3416,1.0
backtest,naive_lag_1,fashion_roupa_infanto_juvenil,,0.7071,0.5
validation,ARIMA,fashion_roupa_infanto_juvenil,100.0,1.0,0.6
backtest,ARIMA,fashion_roupa_infanto_juvenil,,0.2711,0.2709
validation,naive_lag_1,fashion_roupa_masculina,62.5,2.7928,2.2
backtest,naive_lag_1,fashion_roupa_masculina,43.3333,1.5811,1.5
validation,ARIMA,fashion_roupa_masculina,163.1166,2.7596,2.5746
backtest,ARIMA,fashion_roupa_masculina,73.3845,3.1641,3.0019
validation,naive_lag_1,fashion_underwear_e_moda_praia,31.5238,1.4832,1.4
backtest,naive_lag_1,fashion_underwear_e_moda_praia,75.0,1.0,1.0
validation,ARIMA,fashion_underwear_e_moda_praia,114.7358,5.2668,5.1277
backtest,ARIMA,fashion_underwear_e_moda_praia,356.6637,4.5925,4.5516
validation,naive_lag_1,ferramentas_jardim,19.3342,42.3887,34.8
backtest,naive_lag_1,ferramentas_jardim,14.6491,22.8035,18.0
validation,ARIMA,ferramentas_jardim,51.534,102.7302,98.3406
backtest,ARIMA,ferramentas_jardim,68.3868,91.2477,89.841
validation,naive_lag_1,flores,61.6667,1.6733,1.2
backtest,naive_lag_1,flores,50.0,1.5811,1.5
validation,ARIMA,flores,84.5694,1.3062,0.9638
backtest,ARIMA,flores,9.6146,1.0214,0.812
validation,naive_lag_1,fraldas_higiene,33.0952,2.2804,1.6
backtest,naive_lag_1,fraldas_higiene,66.6667,2.8284,2.0
validation,ARIMA,fraldas_higiene,81.953,3.6047,2.8491
backtest,ARIMA,fraldas_higiene,8.137,0.2475,0.2441
validation,naive_lag_1,industria_comercio_e_negocios,43.3648,14.7037,13.4
backtest,naive_lag_1,industria_comercio_e_negocios,49.1453,5.7009,5.5
validation,ARIMA,industria_comercio_e_negocios,71.1654,24.9676,23.0857
backtest,ARIMA,industria_comercio_e_negocios,266.9267,29.0821,28.9305
validation,naive_lag_1,informatica_acessorios,23.7379,146.2156,131.4
backtest,naive_lag_1,informatica_acessorios,4.0686,21.225,15.5
validation,ARIMA,informatica_acessorios,36.5149,270.1346,219.6054
backtest,ARIMA,informatica_acessorios,11.3318,43.4515,43.1103
validation,naive_lag_1,instrumentos_musicais,18.347,9.3488,8.6
backtest,naive_lag_1,instrumentos_musicais,30.8494,11.068,10.5
validation,ARIMA,instrumentos_musicais,17.62,10.9182,9.3834
backtest,ARIMA,instrumentos_musicais,65.4577,22.9112,22.7216
validation,naive_lag_1,la_cuisine,50.0,0.7746,0.6
backtest,naive_lag_1,la_cuisine,,0.0,0.0
validation,ARIMA,la_cuisine,24.4018,0.5867,0.535
backtest,ARIMA,la_cuisine,,0.5873,0.5858
validation,naive_lag_1,livros_importados,51.1111,2.7928,2.2
backtest,naive_lag_1,livros_importados,240.0,4.0,4.0
validation,ARIMA,livros_importados,50.6499,4.5143,3.4541
backtest,ARIMA,livros_importados,294.8657,4.1281,3.7164
validation,naive_lag_1,livros_interesse_geral,29.3552,10.7238,9.8
backtest,naive_lag_1,livros_interesse_geral,25.2353,7.6485,7.5
validation,ARIMA,livros_interesse_geral,16.1554,7.4839,6.3198
backtest,ARIMA,livros_interesse_geral,54.1939,15.6282,14.8923
validation,naive_lag_1,livros_tecnicos,51.3831,19.3184,15.6
backtest,naive_lag_1,livros_tecnicos,3.5714,1.4142,1.0
validation,ARIMA,livros_tecnicos,82.3743,27.505,24.2413
backtest,ARIMA,livros_tecnicos,215.2274,58.2078,58.1376
validation,naive_lag_1,malas_acessorios,48.7064,35.488,21.0
backtest,naive_lag_1,malas_acessorios,23.2958,13.6015,13.0
validation,ARIMA,malas_acessorios,13.7656,7.4769,6.4916
backtest,ARIMA,malas_acessorios,15.8689,10.9873,9.5007
validation,naive_lag_1,market_place,34.5531,4.9193,4.2
backtest,naive_lag_1,market_place,62.5,3.5355,3.5
validation,ARIMA,market_place,31.25,4.5044,3.7938
backtest,ARIMA,market_place,147.0038,7.4498,7.1896
validation,naive_lag_1,moveis_colchao_e_estofado,52.5,2.569,1.8
backtest,naive_lag_1,moveis_colchao_e_estofado,100.0,1.0,1.0
validation,ARIMA,moveis_colchao_e_estofado,85.107,6.8104,6.4398
backtest,ARIMA,moveis_colchao_e_estofado,21.657,0.3373,0.3208
validation,naive_lag_1,moveis_cozinha_area_de_servico_jantar_e_jardim,44.8095,7.1134,6.6
backtest,naive_lag_1,moveis_cozinha_area_de_servico_jantar_e_jardim,5.1316,1.0,1.0
validation,ARIMA,moveis_cozinha_area_de_servico_jantar_e_jardim,26.3711,4.0752,3.4386
backtest,ARIMA,moveis_cozinha_area_de_servico_jantar_e_jardim,35.4354,6.9498,6.9214
validation,naive_lag_1,moveis_decoracao,22.3409,96.3172,79.0
backtest,naive_lag_1,moveis_decoracao,4.2291,19.1442,14.5
validation,ARIMA,moveis_decoracao,16.8789,70.2247,68.1585
backtest,ARIMA,moveis_decoracao,33.2536,113.7283,113.723
validation,naive_lag_1,moveis_escritorio,43.7417,48.8078,40.6
backtest,naive_lag_1,moveis_escritorio,81.586,26.9537,20.5
validation,ARIMA,moveis_escritorio,37.6592,49.7434,38.7032
backtest,ARIMA,moveis_escritorio,164.4186,52.1711,49.0822
validation,naive_lag_1,moveis_quarto,14.8333,1.4832,1.0
backtest,naive_lag_1,moveis_quarto,22.1429,2.2361,2.0
validation,ARIMA,moveis_quarto,58.1465,3.7924,3.6635
backtest,ARIMA,moveis_quarto,39.9049,3.8552,3.5511
validation,naive_lag_1,moveis_sala,34.618,8.3785,6.6
backtest,naive_lag_1,moveis_sala,36.9227,17.3925,16.5
validation,ARIMA,moveis_sala,22.3931,4.8384,4.1537
backtest,ARIMA,moveis_sala,57.5537,25.4752,25.1492
validation,naive_lag_1,musica,35.3333,1.6733,1.2
backtest,naive_lag_1,musica,25.0,2.1213,1.5
validation,ARIMA,musica,88.269,3.3581,3.0666
backtest,ARIMA,musica,39.0976,1.4943,1.4638
validation,naive_lag_1,outros,61.4865,41.0974,36.6
backtest,naive_lag_1,outros,51.5294,22.8035,22.0
validation,ARIMA,outros,158.5349,66.0776,53.1759
backtest,ARIMA,outros,23.3729,12.5249,10.7004
validation,naive_lag_1,papelaria,44.3122,106.8747,58.6
backtest,naive_lag_1,papelaria,10.0098,17.7341,16.5
validation,ARIMA,papelaria,150.9872,206.7699,201.9971
backtest,ARIMA,papelaria,16.8347,28.5153,27.6309
validation,naive_lag_1,pcs,80.5556,8.2825,6.6
backtest,naive_lag_1,pcs,10.0,1.4142,1.0
validation,ARIMA,pcs,199.5114,19.8306,19.1493
backtest,ARIMA,pcs,55.9721,5.0867,5.0464
validation,naive_lag_1,perfumaria,9.3529,16.7988,16.2
backtest,naive_lag_1,perfumaria,9.2159,24.7891,18.5
validation,ARIMA,perfumaria,31.4547,55.5494,54.25
backtest,ARIMA,perfumaria,9.1809,18.683,17.497
validation,naive_lag_1,pet_shop,18.8005,26.2793,24.2
backtest,naive_lag_1,pet_shop,13.1439,21.8289,20.5
validation,ARIMA,pet_shop,45.5555,64.4659,59.5551
backtest,ARIMA,pet_shop,19.126,32.0559,29.8914
validation,naive_lag_1,portateis_casa_forno_e_cafe,79.8339,4.6476,4.4
backtest,naive_lag_1,portateis_casa_forno_e_cafe,48.1092,8.0623,7.0
validation,ARIMA,portateis_casa_forno_e_cafe,96.2825,7.9635,7.1841
backtest,ARIMA,portateis_casa_forno_e_cafe,36.1905,6.134,5.7609
validation,naive_lag_1,relogios_presentes,19.1831,98.9626,88.0
backtest,naive_lag_1,relogios_presentes,21.2851,93.9282,89.5
validation,ARIMA,relogios_presentes,24.0595,131.9981,112.7248
backtest,ARIMA,relogios_presentes,43.9503,197.0862,182.8632
validation,naive_lag_1,seguros_e_servicos,,0.0,0.0
backtest,naive_lag_1,seguros_e_servicos,,0.0,0.0
validation,ARIMA,seguros_e_servicos,,0.1285,0.1284
backtest,ARIMA,seguros_e_servicos,,0.0987,0.0986
validation,naive_lag_1,sinalizacao_e_seguranca,94.8745,11.3402,9.8
backtest,naive_lag_1,sinalizacao_e_seguranca,12.0066,2.2361,2.0
validation,ARIMA,sinalizacao_e_seguranca,72.1543,11.6885,9.866
backtest,ARIMA,sinalizacao_e_seguranca,23.2176,4.9597,3.7555
validation,naive_lag_1,tablets_impressao_imagem,135.0,6.0332,4.0
backtest,naive_lag_1,tablets_impressao_imagem,,0.7071,0.5
validation,ARIMA,tablets_impressao_imagem,345.4479,5.0121,4.9655
backtest,ARIMA,tablets_impressao_imagem,,1.5343,1.5325
validation,naive_lag_1,telefonia,11.6775,37.9552,28.2
backtest,naive_lag_1,telefonia,7.9167,26.8701,19.0
validation,ARIMA,telefonia,15.4681,54.3185,43.2949
backtest,ARIMA,telefonia,4.5851,10.8603,9.6258
validation,naive_lag_1,telefonia_fixa,18.3737,2.49,2.2
backtest,naive_lag_1,telefonia_fixa,53.75,5.1478,4.5
validation,ARIMA,telefonia_fixa,37.8128,4.8342,4.4748
backtest,ARIMA,telefonia_fixa,15.2711,1.3501,1.3352
validation,naive_lag_1,utilidades_domesticas,10.5938,56.0339,45.4
backtest,naive_lag_1,utilidades_domesticas,8.1399,61.5345,44.5
validation,ARIMA,utilidades_domesticas,30.6687,149.3586,132.2805
backtest,ARIMA,utilidades_domesticas,7.5078,50.0427,40.2318
