number,objective_value,datetime_start,datetime_complete,duration,params_d,params_p,params_q,user_attrs_mape,user_attrs_rmse,user_attrs_stability_penalty,user_attrs_valid_model,state,category,model_family
18,81.57511064258826,2026-06-13 01:37:30.447805,2026-06-13 01:37:30.775839,0 days 00:00:00.328034,0,1,1,11.381653212146832,86.37658277057767,69.8470632706066,True,COMPLETE,beleza_saude,arima
6,81.57511064258826,2026-06-13 01:37:27.663669,2026-06-13 01:37:27.987935,0 days 00:00:00.324266,0,1,1,11.381653212146832,86.37658277057767,69.8470632706066,True,COMPLETE,beleza_saude,arima
37,81.57511064258826,2026-06-13 01:37:36.939968,2026-06-13 01:37:37.320494,0 days 00:00:00.380526,0,1,1,11.381653212146832,86.37658277057767,69.8470632706066,True,COMPLETE,beleza_saude,arima
28,87.75311790807675,2026-06-13 01:37:33.832813,2026-06-13 01:37:34.195166,0 days 00:00:00.362353,0,2,1,12.275393491905726,94.86126380264041,72.84915715823213,True,COMPLETE,beleza_saude,arima
20,87.75311790807675,2026-06-13 01:37:31.116913,2026-06-13 01:37:31.449514,0 days 00:00:00.332601,0,2,1,12.275393491905726,94.86126380264041,72.84915715823213,True,COMPLETE,beleza_saude,arima
2,91.35805958282829,2026-06-13 01:37:26.757277,2026-06-13 01:37:26.827452,0 days 00:00:00.070175,1,0,1,12.829765889331851,97.85355837164256,75.05844365804427,True,COMPLETE,beleza_saude,arima
9,96.61375356201737,2026-06-13 01:37:28.145016,2026-06-13 01:37:28.159734,0 days 00:00:00.014718,1,1,0,13.69544579684829,100.45734996733847,71.53926718075162,True,COMPLETE,beleza_saude,arima
8,96.61375356201737,2026-06-13 01:37:28.130128,2026-06-13 01:37:28.144992,0 days 00:00:00.014864,1,1,0,13.69544579684829,100.45734996733847,71.53926718075162,True,COMPLETE,beleza_saude,arima
38,245.51047587012403,2026-06-13 01:37:37.320538,2026-06-13 01:37:37.456657,0 days 00:00:00.136119,0,0,1,36.786045081662955,244.33465161479535,64.64027945862955,True,COMPLETE,beleza_saude,arima
7,245.51047587012403,2026-06-13 01:37:27.987968,2026-06-13 01:37:28.130093,0 days 00:00:00.142125,0,0,1,36.786045081662955,244.33465161479535,64.64027945862955,True,COMPLETE,beleza_saude,arima
5,245.51047587012403,2026-06-13 01:37:27.534559,2026-06-13 01:37:27.663640,0 days 00:00:00.129081,0,0,1,36.786045081662955,244.33465161479535,64.64027945862955,True,COMPLETE,beleza_saude,arima
13,27.210143012725094,2026-06-13 01:37:40.304771,2026-06-13 01:37:40.605017,0 days 00:00:00.300246,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
25,27.210143012725094,2026-06-13 01:37:43.851848,2026-06-13 01:37:44.140073,0 days 00:00:00.288225,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
24,27.210143012725094,2026-06-13 01:37:43.581627,2026-06-13 01:37:43.851816,0 days 00:00:00.270189,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
23,27.210143012725094,2026-06-13 01:37:43.318026,2026-06-13 01:37:43.581595,0 days 00:00:00.263569,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
22,27.210143012725094,2026-06-13 01:37:43.034444,2026-06-13 01:37:43.317992,0 days 00:00:00.283548,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
21,27.210143012725094,2026-06-13 01:37:42.767698,2026-06-13 01:37:43.034413,0 days 00:00:00.266715,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
20,27.210143012725094,2026-06-13 01:37:42.468706,2026-06-13 01:37:42.767665,0 days 00:00:00.298959,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
38,27.210143012725094,2026-06-13 01:37:47.419245,2026-06-13 01:37:47.787067,0 days 00:00:00.367822,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
30,27.210143012725094,2026-06-13 01:37:45.238772,2026-06-13 01:37:45.523452,0 days 00:00:00.284680,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
15,27.210143012725094,2026-06-13 01:37:40.900411,2026-06-13 01:37:41.211865,0 days 00:00:00.311454,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
14,27.210143012725094,2026-06-13 01:37:40.605049,2026-06-13 01:37:40.900377,0 days 00:00:00.295328,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
28,27.210143012725094,2026-06-13 01:37:44.569845,2026-06-13 01:37:44.869173,0 days 00:00:00.299328,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
31,27.210143012725094,2026-06-13 01:37:45.523482,2026-06-13 01:37:45.798338,0 days 00:00:00.274856,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
32,27.210143012725094,2026-06-13 01:37:45.798373,2026-06-13 01:37:46.101935,0 days 00:00:00.303562,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
6,27.210143012725094,2026-06-13 01:37:39.435170,2026-06-13 01:37:39.697321,0 days 00:00:00.262151,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
33,27.210143012725094,2026-06-13 01:37:46.101980,2026-06-13 01:37:46.399332,0 days 00:00:00.297352,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
34,27.210143012725094,2026-06-13 01:37:46.399363,2026-06-13 01:37:46.673051,0 days 00:00:00.273688,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
35,27.210143012725094,2026-06-13 01:37:46.673090,2026-06-13 01:37:46.986796,0 days 00:00:00.313706,0,1,1,4.082571252522384,28.985436626591092,20.712024387566515,True,COMPLETE,cama_mesa_banho,arima
12,38.9697224103206,2026-06-13 01:37:40.241025,2026-06-13 01:37:40.304741,0 days 00:00:00.063716,1,0,1,5.849299598915496,44.64317406154922,26.541006326580813,True,COMPLETE,cama_mesa_banho,arima
2,38.9697224103206,2026-06-13 01:37:38.627593,2026-06-13 01:37:38.700977,0 days 00:00:00.073384,1,0,1,5.849299598915496,44.64317406154922,26.541006326580813,True,COMPLETE,cama_mesa_banho,arima
11,38.9697224103206,2026-06-13 01:37:40.175374,2026-06-13 01:37:40.240995,0 days 00:00:00.065621,1,0,1,5.849299598915496,44.64317406154922,26.541006326580813,True,COMPLETE,cama_mesa_banho,arima
0,53.28790172638825,2026-06-13 01:37:38.325459,2026-06-13 01:37:38.528660,0 days 00:00:00.203201,1,1,2,8.388195759970984,53.30988201168515,26.471348531303114,True,COMPLETE,cama_mesa_banho,arima
9,64.03962821982655,2026-06-13 01:37:39.858254,2026-06-13 01:37:39.877648,0 days 00:00:00.019394,1,1,0,9.666304287801696,71.93666155985454,48.22419713699926,True,COMPLETE,cama_mesa_banho,arima
8,64.03962821982655,2026-06-13 01:37:39.842391,2026-06-13 01:37:39.858220,0 days 00:00:00.015829,1,1,0,9.666304287801696,71.93666155985454,48.22419713699926,True,COMPLETE,cama_mesa_banho,arima
1,69.94593556519851,2026-06-13 01:37:38.528688,2026-06-13 01:37:38.627562,0 days 00:00:00.098874,0,1,0,10.64197752413519,78.92995028019439,50.50454072620991,True,COMPLETE,cama_mesa_banho,arima
29,76.95674845438315,2026-06-13 01:37:44.869216,2026-06-13 01:37:45.238732,0 days 00:00:00.369516,0,1,2,11.42077847727794,71.51338143138028,78.87327206811877,True,COMPLETE,cama_mesa_banho,arima
