dataset,model_family,model,mae,rmse,mape
backtest,arima,"ARIMA(2, 0, 0)",16.576100272052827,20.164849943699604,2.2091483938996332
backtest,naive,naive_lag_1,30.0,31.04834939252005,7.2324072324072315
backtest,naive,naive_ma_2,69.5,81.72667863066503,13.503765465303927
validation,arima,"ARIMA(2, 0, 0)",49.26581158650697,62.57185787176382,7.435675105894708
validation,naive,naive_lag_1,70.6,79.0885579587844,14.712107120456416
validation,naive,naive_ma_2,20.2,26.330590574463002,3.2415265787416674
