dataset,model_family,model,mae,rmse,mape
backtest,arima,"ARIMA(1,1,1)",37.92546551956002,44.10705178279944,6.498846328797033
backtest,naive,naive_lag_1,67.66666666666667,72.26839199790645,12.078222764659081
validation,arima,"ARIMA(1,1,1)",114.18249943311599,140.8386998548188,19.745186789946516
validation,naive,naive_lag_1,56.0,66.73698306229096,9.917820687793343
