dataset,model_family,model,category,mae,rmse,mape,objective_value,stability_penalty
validation,arima,"ARIMA(1, 0, 1)",beleza_saude,74.59040431552759,86.37658277057767,11.381653212146832,81.57511064258826,69.8470632706066
validation,arima,"ARIMA(1, 0, 1)",beleza_saude,74.59040431552759,86.37658277057767,11.381653212146832,81.57511064258826,69.8470632706066
validation,arima,"ARIMA(1, 0, 1)",beleza_saude,74.59040431552759,86.37658277057767,11.381653212146832,81.57511064258826,69.8470632706066
validation,arima,"ARIMA(2, 0, 1)",beleza_saude,80.46820219225353,94.86126380264041,12.275393491905726,87.75311790807675,72.84915715823213
validation,arima,"ARIMA(2, 0, 1)",beleza_saude,80.46820219225353,94.86126380264041,12.275393491905726,87.75311790807675,72.84915715823213
validation,arima,"ARIMA(0, 1, 1)",beleza_saude,83.85221521702387,97.85355837164256,12.829765889331851,91.35805958282829,75.05844365804427
validation,arima,"ARIMA(1, 1, 0)",beleza_saude,89.45982684394221,100.45734996733847,13.69544579684829,96.61375356201737,71.53926718075162
validation,arima,"ARIMA(1, 1, 0)",beleza_saude,89.45982684394221,100.45734996733847,13.69544579684829,96.61375356201737,71.53926718075162
validation,arima,"ARIMA(0, 0, 1)",beleza_saude,239.04644792426106,244.33465161479535,36.786045081662955,245.51047587012403,64.64027945862955
validation,arima,"ARIMA(0, 0, 1)",beleza_saude,239.04644792426106,244.33465161479535,36.786045081662955,245.51047587012403,64.64027945862955
validation,arima,"ARIMA(0, 0, 1)",beleza_saude,239.04644792426106,244.33465161479535,36.786045081662955,245.51047587012403,64.64027945862955
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
